id;type;sub_portfolio;notional;quantity;market_value;currency;maturity;tenor;fixed_rate;float_current_rate;float_spread;calendar;dcc;bdc;float_tenor;float_dcc;float_bdc;effective_date;first_date;next_to_last_date;settlement_days;cap_rate;floor_rate;expiry;is_payer;is_short;current_accrued_interest;repay_amount;repay_tenor;repay_first_date;repay_next_to_last_date;amortization;fixing_first_date;fixing_next_to_last_date;conditions_valid_until;residual_spread;disc_curve;fwd_curve;surface;spread_curve;currency
1;bond;1;100000;;100000;EUR;30.11.2040;1;0.01;;;TARGET;Act/360;following;;Act/Act;unadjusted;30.06.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
2;bond;2;100000;;100000;EUR;30.11.2040;3;0.01;;;TARGET;Act/365;modified;;30/360;preceding;30.01.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;USD
3;bond;3;100000;;100000;EUR;30.11.2040;6;0.01;;;TARGET;Act/Act;unadjusted;;Act/360;following;30.08.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
4;bond;4;100000;;100000;EUR;30.11.2040;12;0.01;;;TARGET;30/360;preceding;;Act/365;modified;30.03.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
1;bond;1;100000;;100000;EUR;30.11.2040;1;0.01;;;TARGET;Act/360;following;;Act/Act;unadjusted;30.06.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
2;bond;2;100000;;100000;EUR;30.11.2040;3;0.01;;;TARGET;Act/365;modified;;30/360;preceding;30.01.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;USD
3;bond;3;100000;;100000;EUR;30.11.2040;6;0.01;;;TARGET;Act/Act;unadjusted;;Act/360;following;30.08.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
4;bond;4;100000;;100000;EUR;30.11.2040;12;0.01;;;TARGET;30/360;preceding;;Act/365;modified;30.03.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
1;bond;1;100000;;100000;EUR;30.11.2040;1;0.01;;;TARGET;Act/360;following;;Act/Act;unadjusted;30.06.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
2;bond;2;100000;;100000;EUR;30.11.2040;3;0.01;;;TARGET;Act/365;modified;;30/360;preceding;30.01.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;USD
3;bond;3;100000;;100000;EUR;30.11.2040;6;0.01;;;TARGET;Act/Act;unadjusted;;Act/360;following;30.08.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
4;bond;4;100000;;100000;EUR;30.11.2040;12;0.01;;;TARGET;30/360;preceding;;Act/365;modified;30.03.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
1;bond;1;100000;;100000;EUR;30.11.2040;1;0.01;;;TARGET;Act/360;following;;Act/Act;unadjusted;30.06.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
2;bond;2;100000;;100000;EUR;30.11.2040;3;0.01;;;TARGET;Act/365;modified;;30/360;preceding;30.01.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;USD
3;bond;3;100000;;100000;EUR;30.11.2040;6;0.01;;;TARGET;Act/Act;unadjusted;;Act/360;following;30.08.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
4;bond;4;100000;;100000;EUR;30.11.2040;12;0.01;;;TARGET;30/360;preceding;;Act/365;modified;30.03.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
1;bond;1;100000;;100000;EUR;30.11.2040;1;0.01;;;TARGET;Act/360;following;;Act/Act;unadjusted;30.06.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
2;bond;2;100000;;100000;EUR;30.11.2040;3;0.01;;;TARGET;Act/365;modified;;30/360;preceding;30.01.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;USD
3;bond;3;100000;;100000;EUR;30.11.2040;6;0.01;;;TARGET;Act/Act;unadjusted;;Act/360;following;30.08.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
4;bond;4;100000;;100000;EUR;30.11.2040;12;0.01;;;TARGET;30/360;preceding;;Act/365;modified;30.03.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
1;bond;1;100000;;100000;EUR;30.11.2040;1;0.01;;;TARGET;Act/360;following;;Act/Act;unadjusted;30.06.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
2;bond;2;100000;;100000;EUR;30.11.2040;3;0.01;;;TARGET;Act/365;modified;;30/360;preceding;30.01.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;USD
3;bond;3;100000;;100000;EUR;30.11.2040;6;0.01;;;TARGET;Act/Act;unadjusted;;Act/360;following;30.08.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
4;bond;4;100000;;100000;EUR;30.11.2040;12;0.01;;;TARGET;30/360;preceding;;Act/365;modified;30.03.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
1;bond;1;100000;;100000;EUR;30.11.2040;1;0.01;;;TARGET;Act/360;following;;Act/Act;unadjusted;30.06.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
2;bond;2;100000;;100000;EUR;30.11.2040;3;0.01;;;TARGET;Act/365;modified;;30/360;preceding;30.01.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;USD
3;bond;3;100000;;100000;EUR;30.11.2040;6;0.01;;;TARGET;Act/Act;unadjusted;;Act/360;following;30.08.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
4;bond;4;100000;;100000;EUR;30.11.2040;12;0.01;;;TARGET;30/360;preceding;;Act/365;modified;30.03.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
1;bond;1;100000;;100000;EUR;30.11.2040;1;0.01;;;TARGET;Act/360;following;;Act/Act;unadjusted;30.06.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
2;bond;2;100000;;100000;EUR;30.11.2040;3;0.01;;;TARGET;Act/365;modified;;30/360;preceding;30.01.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;USD
3;bond;3;100000;;100000;EUR;30.11.2040;6;0.01;;;TARGET;Act/Act;unadjusted;;Act/360;following;30.08.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
4;bond;4;100000;;100000;EUR;30.11.2040;12;0.01;;;TARGET;30/360;preceding;;Act/365;modified;30.03.2015;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
1;bond;1;100000;;100000;EUR;30.11.2040;1;0.01;;;TARGET;Act/360;following;;Act/Act;unadjusted;30.06.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;EUR
2;bond;2;100000;;100000;EUR;30.11.2040;3;0.01;;;TARGET;Act/365;modified;;30/360;preceding;30.01.2016;;;;;;;;;;;;;;;;;;;EUR-GOV;;;;USD
