,EUR-EQUITY,US-EQUITY
11.11.2015,100,100
12.11.2015,98.704679273,98.5851460635
13.11.2015,97.9992045299,97.8562738914
16.11.2015,98.0438539483,98.6914895636
17.11.2015,100.4645350575,100.8511892601
18.11.2015,100.2478356177,100.8386574949
19.11.2015,101.2404318943,101.4108826025
20.11.2015,101.5044973318,101.5793554172
23.11.2015,101.2627217756,101.4151628181
24.11.2015,99.9115370336,99.9983673405
25.11.2015,101.9176960064,101.4162218405
26.11.2015,103.2257637593,102.3124195529
27.11.2015,102.9705446184,102.1223691567
30.11.2015,103.7084093453,102.8262660503
01.12.2015,102.6788954528,102.2228439076
02.12.2015,102.1063241269,101.9482482225
03.12.2015,98.4417283295,99.4638257802
04.12.2015,98.095329643,99.8690783549
07.12.2015,99.2338549862,101.4024986751
08.12.2015,97.3166465709,99.6008368042
09.12.2015,96.6106145808,98.8648162309
10.12.2015,96.6050421105,98.7163765901
11.12.2015,94.3368377206,96.4762353165
14.12.2015,92.4931162578,95.4980957453
15.12.2015,95.3720633952,97.8418005852
16.12.2015,95.5402823431,98.7560899304
17.12.2015,97.8288262497,99.6023370859
18.12.2015,96.6051117663,98.4448255945
21.12.2015,95.5036433508,97.3069942694
22.12.2015,95.449938668,97.4738785504
23.12.2015,97.6179779038,98.8916006727
24.12.2015,97.6025839545,98.8823783525
28.12.2015,96.8941140086,98.3584270164
29.12.2015,98.7331685275,99.9936017396
30.12.2015,97.7340942542,99.2128815956
31.12.2015,97.5915783256,99.1265712693
04.01.2016,93.6746192784,96.7084701053
05.01.2016,93.9526158917,96.5897713438
06.01.2016,93.0138636096,95.4748855042
07.01.2016,91.0021321665,93.2908724182
08.01.2016,89.7363455322,92.2796825227
11.01.2016,89.525636498,91.8441154317
12.01.2016,90.9015490771,93.7163346705
13.01.2016,90.7893334559,93.333586322
14.01.2016,89.2862988976,92.1713533556
15.01.2016,87.0541762531,89.7848463601
18.01.2016,86.772000287,89.2241381212
19.01.2016,88.0777693959,90.8651374677
20.01.2016,85.4972280443,87.7025876771
21.01.2016,87.1957866552,89.006156009
22.01.2016,89.0765650457,91.829906881
25.01.2016,88.7271711563,92.0239286113
26.01.2016,89.5467422294,92.4801025134
27.01.2016,90.0252781185,92.1299191039
28.01.2016,87.8988234425,90.8635489341
29.01.2016,89.4604385952,93.0472531386
01.02.2016,89.012481637,93.0423992859
02.02.2016,87.2989470121,91.2119231803
03.02.2016,85.8957989843,90.1158791144
04.02.2016,85.6673973568,90.2021011887
05.02.2016,84.7406955418,89.2827373611
08.02.2016,81.9468678886,85.494746587
09.02.2016,80.9115725581,85.0452798268
10.02.2016,82.2380991189,86.6535818565
11.02.2016,79.6390989594,84.3387353772
