"";BBK01.WX0073;BBK01.WX0073_FLAGS;BBK01.WX0074;BBK01.WX0074_FLAGS;BBK01.WX0075;BBK01.WX0075_FLAGS;BBK01.WX0076;BBK01.WX0076_FLAGS;BBK01.WX0077;BBK01.WX0077_FLAGS;BBK01.WX0078;BBK01.WX0078_FLAGS;BBK01.WX0079;BBK01.WX0079_FLAGS;BBK01.WX0080;BBK01.WX0080_FLAGS;BBK01.WX0082;BBK01.WX0082_FLAGS;BBK01.WX0084;BBK01.WX0084_FLAGS;BBK01.WX0087;BBK01.WX0087_FLAGS;BBK01.WX0092;BBK01.WX0092_FLAGS;BBK01.WX0097;BBK01.WX0097_FLAGS;BBK01.WX0202;BBK01.WX0202_FLAGS
"";Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 1,0      Jahr / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 2,0      Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 3,0      Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 4,0      Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 5,0      Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 6,0      Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 7,0      Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 8,0      Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 10,0     Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 12,0     Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 15,0     Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 20,0     Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 25,0     Jahre / Monatsendstand;;Null-Kupon-Euro-Swapkurve / Bootstrap u. interpoliert / 30,0     Jahre / Monatsendstand;
Einheit;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dimension;Eins;;Eins;;Eins;;Eins;;Eins;;Eins;;Eins;;Eins;;Eins;;Eins;;Eins;;Eins;;Eins;;Eins;
Stand vom;01.03.2021 10:17:13 Uhr;;01.03.2021 10:17:13 Uhr;;01.03.2021 10:17:13 Uhr;;01.03.2021 10:17:13 Uhr;;01.03.2021 10:17:13 Uhr;;01.03.2021 10:17:13 Uhr;;01.03.2021 10:17:13 Uhr;;01.03.2021 10:17:13 Uhr;;01.03.2021 10:17:13 Uhr;;01.03.2021 10:17:13 Uhr;;01.03.2021 10:17:14 Uhr;;01.03.2021 10:17:14 Uhr;;01.03.2021 10:17:14 Uhr;;01.03.2021 10:17:22 Uhr;
2002-01;3,662;;4,123;;4,415;;4,613;;4,777;;4,910;;5,025;;5,123;;5,239;;5,330;;5,429;;5,500;;5,474;;5,417;
2002-02;3,660;;4,100;;4,352;;4,602;;4,775;;4,922;;5,047;;5,146;;5,291;;5,370;;5,490;;5,620;;5,618;;5,550;
2002-03;4,027;;4,524;;4,811;;5,002;;5,146;;5,263;;5,363;;5,447;;5,570;;5,665;;5,758;;5,850;;5,856;;5,784;
2002-04;3,831;;4,292;;4,583;;4,798;;4,969;;5,114;;5,225;;5,319;;5,449;;5,557;;5,682;;5,780;;5,780;;5,698;
2002-05;4,041;;4,456;;4,697;;4,893;;5,046;;5,171;;5,274;;5,358;;5,484;;5,578;;5,685;;5,790;;5,794;;5,735;
2002-06;3,792;;4,152;;4,414;;4,619;;4,774;;4,916;;5,036;;5,137;;5,286;;5,385;;5,482;;5,530;;5,501;;5,423;
2002-07;3,518;;3,813;;4,107;;4,346;;4,535;;4,698;;4,831;;4,940;;5,103;;5,217;;5,333;;5,430;;5,395;;5,314;
2002-08;3,427;;3,644;;3,890;;4,112;;4,291;;4,468;;4,606;;4,725;;4,900;;5,018;;5,138;;5,260;;5,257;;5,168;
2002-09;3,060;;3,235;;3,492;;3,719;;3,919;;4,107;;4,287;;4,428;;4,644;;4,799;;4,977;;5,140;;5,163;;5,095;
2002-10;3,085;;3,273;;3,560;;3,826;;4,049;;4,261;;4,453;;4,602;;4,829;;4,976;;5,161;;5,320;;5,353;;5,274;
2002-11;3,005;;3,282;;3,569;;3,837;;4,056;;4,254;;4,423;;4,568;;4,796;;4,964;;5,131;;5,280;;5,316;;5,253;
2002-12;2,722;;2,892;;3,167;;3,441;;3,689;;3,905;;4,084;;4,259;;4,524;;4,684;;4,869;;5,090;;5,118;;5,061;
2003-01;2,643;;2,785;;3,040;;3,296;;3,544;;3,761;;3,958;;4,124;;4,379;;4,564;;4,750;;4,910;;4,959;;4,906;
2003-02;2,364;;2,485;;2,729;;3,002;;3,244;;3,486;;3,710;;3,908;;4,216;;4,442;;4,692;;4,910;;5,009;;4,955;
2003-03;2,409;;2,601;;2,918;;3,197;;3,442;;3,679;;3,880;;4,059;;4,335;;4,559;;4,797;;5,050;;5,127;;5,109;
2003-04;2,390;;2,579;;2,893;;3,202;;3,448;;3,675;;3,882;;4,065;;4,353;;4,566;;4,817;;5,070;;5,187;;5,160;
2003-05;2,143;;2,269;;2,508;;2,792;;3,044;;3,270;;3,483;;3,670;;3,970;;4,194;;4,468;;4,750;;4,889;;4,918;
2003-06;2,045;;2,267;;2,561;;2,845;;3,115;;3,355;;3,562;;3,756;;4,053;;4,286;;4,578;;4,900;;5,043;;5,094;
2003-07;2,225;;2,663;;2,883;;3,357;;3,616;;3,846;;4,020;;4,178;;4,440;;4,649;;4,897;;5,190;;5,323;;5,371;
2003-08;2,345;;2,778;;3,138;;3,441;;3,669;;3,863;;4,031;;4,182;;4,406;;4,581;;4,806;;5,050;;5,162;;5,192;
2003-09;2,131;;2,451;;2,803;;3,116;;3,373;;3,602;;3,809;;3,976;;4,258;;4,468;;4,742;;5,020;;5,168;;5,204;
2003-10;2,413;;2,864;;3,242;;3,542;;3,785;;3,985;;4,161;;4,308;;4,530;;4,708;;4,918;;5,170;;5,289;;5,280;
2003-11;2,520;;3,026;;3,414;;3,713;;3,951;;4,144;;4,309;;4,450;;4,667;;4,834;;5,031;;5,250;;5,342;;5,365;
2003-12;2,325;;2,746;;3,153;;3,476;;3,727;;3,941;;4,124;;4,282;;4,519;;4,696;;4,910;;5,140;;5,244;;5,271;
2004-01;2,296;;2,716;;3,081;;3,400;;3,659;;3,882;;4,077;;4,241;;4,497;;4,690;;4,937;;5,180;;5,292;;5,288;
2004-02;2,095;;2,419;;2,776;;3,104;;3,382;;3,621;;3,837;;4,021;;4,307;;4,521;;4,773;;5,050;;5,178;;5,214;
2004-03;1,987;;2,293;;2,638;;2,959;;3,235;;3,482;;3,696;;3,893;;4,191;;4,419;;4,683;;4,980;;5,100;;5,133;
2004-04;2,246;;2,640;;2,990;;3,307;;3,571;;3,799;;3,995;;4,168;;4,436;;4,627;;4,856;;5,100;;5,216;;5,234;
2004-05;2,381;;2,835;;3,212;;3,538;;3,795;;4,013;;4,199;;4,360;;4,613;;4,798;;5,016;;5,250;;5,359;;5,388;
2004-06;2,424;;2,879;;3,251;;3,544;;3,780;;3,982;;4,158;;4,307;;4,539;;4,712;;4,905;;5,110;;5,205;;5,218;
2004-07;2,392;;2,810;;3,160;;3,446;;3,679;;3,878;;4,057;;4,201;;4,439;;4,606;;4,806;;5,020;;5,113;;5,133;
2004-08;2,295;;2,620;;2,949;;3,209;;3,440;;3,649;;3,834;;3,988;;4,236;;4,419;;4,631;;4,860;;4,964;;4,988;
2004-09;2,396;;2,707;;2,986;;3,224;;3,440;;3,633;;3,806;;3,962;;4,197;;4,371;;4,576;;4,810;;4,908;;4,935;
2004-10;2,326;;2,575;;2,873;;3,075;;3,295;;3,494;;3,673;;3,829;;4,073;;4,256;;4,475;;4,720;;4,827;;4,863;
2004-11;2,308;;2,516;;2,754;;2,974;;3,179;;3,366;;3,536;;3,687;;3,929;;4,105;;4,313;;4,550;;4,661;;4,695;
2004-12;2,371;;2,615;;2,830;;3,006;;3,169;;3,326;;3,476;;3,608;;3,818;;3,975;;4,174;;4,410;;4,513;;4,549;
2005-01;2,315;;2,547;;2,752;;2,912;;3,067;;3,211;;3,347;;3,472;;3,672;;3,820;;3,988;;4,180;;4,259;;4,280;
2005-02;2,366;;2,658;;2,897;;3,083;;3,253;;3,403;;3,543;;3,669;;3,871;;4,017;;4,172;;4,340;;4,410;;4,433;
2005-03;2,366;;2,631;;2,840;;3,002;;3,157;;3,303;;3,442;;3,568;;3,772;;3,925;;4,095;;4,260;;4,341;;4,365;
2005-04;2,215;;2,396;;2,593;;2,770;;2,932;;3,090;;3,240;;3,375;;3,599;;3,764;;3,950;;4,140;;4,237;;4,267;
2005-05;2,161;;2,286;;2,462;;2,629;;2,791;;2,943;;3,086;;3,219;;3,436;;3,602;;3,789;;3,980;;4,072;;4,097;
2005-06;2,081;;2,158;;2,321;;2,451;Berichtigter Wert;2,602;;2,755;;2,899;;3,031;;3,252;;3,423;;3,615;;3,810;;3,896;;3,923;
2005-07;2,238;;2,400;;2,556;;2,662;;2,802;;2,935;;3,065;;3,187;;3,394;;3,555;;3,731;;3,920;;3,998;;4,021;
2005-08;2,216;;2,338;;2,470;;2,570;;2,690;;2,810;;2,930;;3,044;;3,239;;3,394;;3,566;;3,740;;3,817;;3,837;
2005-09;2,351;;2,525;;2,646;;2,740;;2,839;;2,935;;3,030;;3,124;;3,295;;3,436;;3,596;;3,760;;3,839;;3,859;
2005-10;2,587;;2,795;;2,918;;3,024;;3,126;;3,216;;3,303;;3,389;;3,542;;3,665;;3,806;;3,950;;4,015;;4,029;
2005-11;2,800;;2,948;;3,047;;3,131;;3,215;;3,293;;3,369;;3,444;;3,581;;3,699;;3,837;;3,970;;4,033;;4,041;
2005-12;2,867;;3,025;;3,106;;3,149;;3,197;;3,248;;3,301;;3,352;;3,454;;3,552;;3,670;;3,790;;3,827;;3,827;
2006-01;2,936;;3,143;;3,247;;3,321;;3,387;;3,445;;3,501;;3,557;;3,665;;3,760;;3,873;;3,980;;4,025;;4,022;
2006-02;3,020;;3,206;;3,307;;3,377;;3,432;;3,486;;3,537;;3,586;;3,681;;3,765;;3,870;;3,970;;4,016;;4,014;
2006-03;3,282;;3,524;;3,601;;3,710;;3,770;;3,822;;3,871;;3,919;;4,009;;4,086;;4,180;;4,270;;4,309;;4,305;
2006-04;3,331;;3,597;;3,733;;3,822;;3,900;;3,969;;4,031;;4,088;;4,189;;4,272;;4,367;;4,470;;4,498;;4,491;
