ZINSKURVE;1Y;2Y;3Y;4Y;5Y;6Y;7Y;8Y;10Y;12Y;15Y;20Y;25Y;30Y
2002-01;0.03662;0.04123;0.04415;0.04613;0.04777;0.0491;0.05025;0.05123;0.05239;0.0533;0.05429;0.055;0.05474;0.05417
2002-02;0.0366;0.041;0.04352;0.04602;0.04775;0.04922;0.05047;0.05146;0.05291;0.0537;0.0549;0.0562;0.05618;0.0555
2002-03;0.04027;0.04524;0.04811;0.05002;0.05146;0.05263;0.05363;0.05447;0.0557;0.05665;0.05758;0.0585;0.05856;0.05784
2002-04;0.03831;0.04292;0.04583;0.04798;0.04969;0.05114;0.05225;0.05319;0.05449;0.05557;0.05682;0.0578;0.0578;0.05698
2002-05;0.04041;0.04456;0.04697;0.04893;0.05046;0.05171;0.05274;0.05358;0.05484;0.05578;0.05685;0.0579;0.05794;0.05735
2002-06;0.03792;0.04152;0.04414;0.04619;0.04774;0.04916;0.05036;0.05137;0.05286;0.05385;0.05482;0.0553;0.05501;0.05423
2002-07;0.03518;0.03813;0.04107;0.04346;0.04535;0.04698;0.04831;0.0494;0.05103;0.05217;0.05333;0.0543;0.05395;0.05314
2002-08;0.03427;0.03644;0.0389;0.04112;0.04291;0.04468;0.04606;0.04725;0.049;0.05018;0.05138;0.0526;0.05257;0.05168
2002-09;0.0306;0.03235;0.03492;0.03719;0.03919;0.04107;0.04287;0.04428;0.04644;0.04799;0.04977;0.0514;0.05163;0.05095
2002-10;0.03085;0.03273;0.0356;0.03826;0.04049;0.04261;0.04453;0.04602;0.04829;0.04976;0.05161;0.0532;0.05353;0.05274
2002-11;0.03005;0.03282;0.03569;0.03837;0.04056;0.04254;0.04423;0.04568;0.04796;0.04964;0.05131;0.0528;0.05316;0.05253
2002-12;0.02722;0.02892;0.03167;0.03441;0.03689;0.03905;0.04084;0.04259;0.04524;0.04684;0.04869;0.0509;0.05118;0.05061
2003-01;0.02643;0.02785;0.0304;0.03296;0.03544;0.03761;0.03958;0.04124;0.04379;0.04564;0.0475;0.0491;0.04959;0.04906
2003-02;0.02364;0.02485;0.02729;0.03002;0.03244;0.03486;0.0371;0.03908;0.04216;0.04442;0.04692;0.0491;0.05009;0.04955
2003-03;0.02409;0.02601;0.02918;0.03197;0.03442;0.03679;0.0388;0.04059;0.04335;0.04559;0.04797;0.0505;0.05127;0.05109
2003-04;0.0239;0.02579;0.02893;0.03202;0.03448;0.03675;0.03882;0.04065;0.04353;0.04566;0.04817;0.0507;0.05187;0.0516
2003-05;0.02143;0.02269;0.02508;0.02792;0.03044;0.0327;0.03483;0.0367;0.0397;0.04194;0.04468;0.0475;0.04889;0.04918
2003-06;0.02045;0.02267;0.02561;0.02845;0.03115;0.03355;0.03562;0.03756;0.04053;0.04286;0.04578;0.049;0.05043;0.05094
2003-07;0.02225;0.02663;0.02883;0.03357;0.03616;0.03846;0.0402;0.04178;0.0444;0.04649;0.04897;0.0519;0.05323;0.05371
2003-08;0.02345;0.02778;0.03138;0.03441;0.03669;0.03863;0.04031;0.04182;0.04406;0.04581;0.04806;0.0505;0.05162;0.05192
2003-09;0.02131;0.02451;0.02803;0.03116;0.03373;0.03602;0.03809;0.03976;0.04258;0.04468;0.04742;0.0502;0.05168;0.05204
2003-10;0.02413;0.02864;0.03242;0.03542;0.03785;0.03985;0.04161;0.04308;0.0453;0.04708;0.04918;0.0517;0.05289;0.0528
2003-11;0.0252;0.03026;0.03414;0.03713;0.03951;0.04144;0.04309;0.0445;0.04667;0.04834;0.05031;0.0525;0.05342;0.05365
2003-12;0.02325;0.02746;0.03153;0.03476;0.03727;0.03941;0.04124;0.04282;0.04519;0.04696;0.0491;0.0514;0.05244;0.05271
2004-01;0.02296;0.02716;0.03081;0.034;0.03659;0.03882;0.04077;0.04241;0.04497;0.0469;0.04937;0.0518;0.05292;0.05288
2004-02;0.02095;0.02419;0.02776;0.03104;0.03382;0.03621;0.03837;0.04021;0.04307;0.04521;0.04773;0.0505;0.05178;0.05214
2004-03;0.01987;0.02293;0.02638;0.02959;0.03235;0.03482;0.03696;0.03893;0.04191;0.04419;0.04683;0.0498;0.051;0.05133
2004-04;0.02246;0.0264;0.0299;0.03307;0.03571;0.03799;0.03995;0.04168;0.04436;0.04627;0.04856;0.051;0.05216;0.05234
2004-05;0.02381;0.02835;0.03212;0.03538;0.03795;0.04013;0.04199;0.0436;0.04613;0.04798;0.05016;0.0525;0.05359;0.05388
2004-06;0.02424;0.02879;0.03251;0.03544;0.0378;0.03982;0.04158;0.04307;0.04539;0.04712;0.04905;0.0511;0.05205;0.05218
2004-07;0.02392;0.0281;0.0316;0.03446;0.03679;0.03878;0.04057;0.04201;0.04439;0.04606;0.04806;0.0502;0.05113;0.05133
2004-08;0.02295;0.0262;0.02949;0.03209;0.0344;0.03649;0.03834;0.03988;0.04236;0.04419;0.04631;0.0486;0.04964;0.04988
2004-09;0.02396;0.02707;0.02986;0.03224;0.0344;0.03633;0.03806;0.03962;0.04197;0.04371;0.04576;0.0481;0.04908;0.04935
2004-10;0.02326;0.02575;0.02873;0.03075;0.03295;0.03494;0.03673;0.03829;0.04073;0.04256;0.04475;0.0472;0.04827;0.04863
2004-11;0.02308;0.02516;0.02754;0.02974;0.03179;0.03366;0.03536;0.03687;0.03929;0.04105;0.04313;0.0455;0.04661;0.04695
2004-12;0.02371;0.02615;0.0283;0.03006;0.03169;0.03326;0.03476;0.03608;0.03818;0.03975;0.04174;0.0441;0.04513;0.04549
2005-01;0.02315;0.02547;0.02752;0.02912;0.03067;0.03211;0.03347;0.03472;0.03672;0.0382;0.03988;0.0418;0.04259;0.0428
2005-02;0.02366;0.02658;0.02897;0.03083;0.03253;0.03403;0.03543;0.03669;0.03871;0.04017;0.04172;0.0434;0.0441;0.04433
2005-03;0.02366;0.02631;0.0284;0.03002;0.03157;0.03303;0.03442;0.03568;0.03772;0.03925;0.04095;0.0426;0.04341;0.04365
2005-04;0.02215;0.02396;0.02593;0.0277;0.02932;0.0309;0.0324;0.03375;0.03599;0.03764;0.0395;0.0414;0.04237;0.04267
2005-05;0.02161;0.02286;0.02462;0.02629;0.02791;0.02943;0.03086;0.03219;0.03436;0.03602;0.03789;0.0398;0.04072;0.04097
2005-06;0.02081;0.02158;0.02321;0.02451;0.02602;0.02755;0.02899;0.03031;0.03252;0.03423;0.03615;0.0381;0.03896;0.03923
2005-07;0.02238;0.024;0.02556;0.02662;0.02802;0.02935;0.03065;0.03187;0.03394;0.03555;0.03731;0.0392;0.03998;0.04021
2005-08;0.02216;0.02338;0.0247;0.0257;0.0269;0.0281;0.0293;0.03044;0.03239;0.03394;0.03566;0.0374;0.03817;0.03837
2005-09;0.02351;0.02525;0.02646;0.0274;0.02839;0.02935;0.0303;0.03124;0.03295;0.03436;0.03596;0.0376;0.03839;0.03859
2005-10;0.02587;0.02795;0.02918;0.03024;0.03126;0.03216;0.03303;0.03389;0.03542;0.03665;0.03806;0.0395;0.04015;0.04029
2005-11;0.028;0.02948;0.03047;0.03131;0.03215;0.03293;0.03369;0.03444;0.03581;0.03699;0.03837;0.0397;0.04033;0.04041
2005-12;0.02867;0.03025;0.03106;0.03149;0.03197;0.03248;0.03301;0.03352;0.03454;0.03552;0.0367;0.0379;0.03827;0.03827
2006-01;0.02936;0.03143;0.03247;0.03321;0.03387;0.03445;0.03501;0.03557;0.03665;0.0376;0.03873;0.0398;0.04025;0.04022
